config,bench,threads,trial,txns,time_ns,throughput,aborts,verified
zstm-ala,Counter,1,1,532815676,5000541326,106551599,0,1
rstm-norec,Counter,1,1,316751394,5000003574,63350233,0,1
rstm-cgl,Counter,1,1,211665663,5000003104,42333106,0,1
zstm-ala,Counter,2,1,93848946,5000611496,18767493,21085829,1
rstm-norec,Counter,2,1,49668130,5000003329,9933619,21477088,1
rstm-cgl,Counter,2,1,109001815,5000004544,21800343,0,1
zstm-ala,Counter,4,1,61012099,5000972776,12200046,14604084,1
rstm-norec,Counter,4,1,30741926,5000000955,6148384,22854830,1
rstm-cgl,Counter,4,1,102102221,5000036617,20420294,0,1
zstm-ala,Counter,8,1,33521226,5000965928,6702950,20062478,1
rstm-norec,Counter,8,1,14660400,5000002761,2932078,31758062,1
rstm-cgl,Counter,8,1,68426379,5000040267,13685165,0,1
zstm-ala,Counter,16,1,22806743,5002751548,4558839,18591745,1
rstm-norec,Counter,16,1,10111654,5000010944,2022326,30728198,1
rstm-cgl,Counter,16,1,48331799,5000056356,9666250,0,1
zstm-ala,ReadNWrite1/m256,1,1,235360694,5000591954,47066566,0,1
rstm-norec,ReadNWrite1/m256,1,1,150016632,5000002509,30003311,0,1
rstm-cgl,ReadNWrite1/m256,1,1,122181475,5000002114,24436284,0,1
zstm-ala,ReadNWrite1/m256,2,1,73131408,5000940562,14623530,1631437,1
rstm-norec,ReadNWrite1/m256,2,1,37506246,5000002198,7501245,481978,1
rstm-cgl,ReadNWrite1/m256,2,1,111947088,5000017490,22389339,0,1
zstm-ala,ReadNWrite1/m256,4,1,42860398,5000080934,8571940,2908216,1
rstm-norec,ReadNWrite1/m256,4,1,26616309,5000004135,5323257,1780817,1
rstm-cgl,ReadNWrite1/m256,4,1,98554466,5000048455,19710702,0,1
zstm-ala,ReadNWrite1/m256,8,1,41779519,5000164179,8355629,1389295,1
rstm-norec,ReadNWrite1/m256,8,1,15616094,5000003075,3123216,2450789,1
rstm-cgl,ReadNWrite1/m256,8,1,87371585,5000030527,17474210,0,1
zstm-ala,ReadNWrite1/m256,16,1,36377763,5002748600,7271555,1486142,1
rstm-norec,ReadNWrite1/m256,16,1,12150818,5000010254,2430158,3645887,1
